"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 20 14:39:22 ICT 2023","Mon Nov 20 14:39:27 ICT 2023","4784","","Add All Day Appointment","","","","TC_03_Add_All_Day_Appointment_Successfully","Add_All_Day_Successfully"
"passed","Mon Nov 20 14:39:19 ICT 2023","Mon Nov 20 14:39:23 ICT 2023","4330","","Add Regular Appointment","","","","TC_02_Add_Appointment_With_Attendees_Are_Empty","Add_Regular_Appointment_Unsuccessfully_With_Attendees_Are_Empty"
"passed","Mon Nov 20 14:39:23 ICT 2023","Mon Nov 20 14:39:28 ICT 2023","4889","","Add Regular Appointment","","","","TC_03_Add_Appointment_Successfully","Add_Regular_Appointment_Successfully"
"passed","Mon Nov 20 14:39:10 ICT 2023","Mon Nov 20 14:39:18 ICT 2023","7981","","Add All Day Appointment","","","","TC_01_Add_All_Day_Appointment_Unsuccessfully_With_Date_Is_Invalid","Add_All_Day_Unsuccessfully_With_Date_Is_Invalid"
"passed","Mon Nov 20 14:38:39 ICT 2023","Mon Nov 20 14:38:41 ICT 2023","2040","","Login","","","","TC_01_Invalid_username","Login unsuccessful with invalid username"
"passed","Mon Nov 20 14:38:41 ICT 2023","Mon Nov 20 14:38:43 ICT 2023","1629","","Login","","","","TC_03_Login_successfully","Login successful with valid username and password"
"passed","Mon Nov 20 14:39:19 ICT 2023","Mon Nov 20 14:39:23 ICT 2023","3977","","Add Repeating Appointment","","","","TC_01_Add_Repeating_Appointment_Successfully","Add_Repeating_Appointment_Successfully"
"passed","Mon Nov 20 14:39:10 ICT 2023","Mon Nov 20 14:39:16 ICT 2023","5977","","Add Repeating Appointment","","","","TC_01_Add_Repeating_Appointment_Unsuccessfully_With_Date_Time_Are_Invalid","Add_Repeating_Appointment_Unsuccessfully_With_Date_Is_Invalid"
"passed","Mon Nov 20 14:39:10 ICT 2023","Mon Nov 20 14:39:18 ICT 2023","8267","","Add Regular Appointment","","","","TC_01_Add_Appointment_With_Date_And_Time_Are_Invalid","Add_Regular_Appointment_Unsuccessfully_With_Date_Is_Invalid"
"passed","Mon Nov 20 14:39:16 ICT 2023","Mon Nov 20 14:39:19 ICT 2023","3130","","Add Repeating Appointment","","","","TC_01_Add_Repeating_Appointment_Unsuccessfully_With_Attendees_Are_Invalid","Add_Repeating_Appointment_Unsuccessfully_With_Attendees_Are_Empty"
"passed","Mon Nov 20 14:39:19 ICT 2023","Mon Nov 20 14:39:22 ICT 2023","3200","","Add All Day Appointment","","","","TC_02_Add_All_Day_Appointment_Unsuccessfully_With_Attendees_Are_Empty","Add_All_Day_Unsuccessfully_With_Attenddes_Are_Empty"
